OBJECTID,SHAPE_Leng,SHAPE_Area,NAME,CODE,CREATEDBY,CREATEDDAT,UPDATEDBY,UPDATEDDAT,DOCYR,DOCNO,DOCDATE,SUBJECT
1,180349.49147061416,1090226330.1358953,CARLSBAD,CB,,,T,2020-02-21,,,,
2,325035.0952255377,1452900903.2738514,CHULA VISTA,CV,,,T,2020-02-21,,,,
3,133592.47584463545,392934451.00842863,CORONADO,CO,,,,,,,,
4,40978.32223062134,49826736.11839072,DEL MAR,DM,,,,,,,,
5,160833.3735244838,545861110.0350925,ENCINITAS,EN,,,KPALM,2018-04-11,,,,
6,5750.9365413941705,1506662.2714413048,ESCONDIDO,ES,,,,,,,,
7,61233.30784991702,123800656.79280058,IMPERIAL BEACH,IB,,,T,2020-02-21,,,,
8,373.55336721391376,8484.886658999978,OCEANSIDE,OC,,,,,,,,
9,30506.797524198235,11519843.950833496,S.D. COUNTY,CN,,,T,2020-02-21,,,,
10,2678.689218053338,313756.3872081172,S.D. COUNTY,CN,,,BMALDONADO,2018-02-14,,,,
11,23792.7381702871,12051592.569489008,S.D. COUNTY,CN,,,T,2020-02-21,,,,
12,7124.811835309177,2809456.253249592,S.D. COUNTY,CN,,,,,,,,
13,9522.541553092637,2224151.5531667345,S.D. COUNTY,CN,,,T,2020-02-20,,,,
14,7977.035743241862,1694893.1824233192,S.D. COUNTY,CN,,,,,,,,
15,5770.034667246801,1575276.2863315155,S.D. COUNTY,CN,,,T,2020-02-20,,,,
16,1266.4058365174503,87256.7011509663,S.D. COUNTY,CN,,,,,,,,
17,2592.253926593533,287042.8051588459,S.D. COUNTY,CN,,,T,2020-02-20,,,,
18,14429.463414132857,4554264.153502448,S.D. COUNTY,CN,,,,,,,,
19,5375.1525258511465,1002098.0245763306,S.D. COUNTY,CN,,,T,2020-02-20,,,,
20,1144.6559761186013,77822.78670754898,S.D. COUNTY,CN,,,,,,,,
21,655.4810990538842,16545.171404468532,S.D. COUNTY,CN,,,,,,,,
22,400.60722032217575,10023.563710550927,S.D. COUNTY,CN,,,,,,,,
23,2456.31211052598,270015.2214162907,S.D. COUNTY,CN,,,,,,,,
24,1032.802097914342,65829.98219888742,S.D. COUNTY,CN,,,,,,,,
25,2214.7590828317316,103388.84754478514,S.D. COUNTY,CN,,,,,,,,
26,3044.579696022179,343038.0136064886,S.D. COUNTY,CN,,,,,,,,
27,1448.8686900141838,84649.67542074539,S.D. COUNTY,CN,,,,,,,,
28,1144.7152574392305,77401.99886065161,S.D. COUNTY,CN,,,,,,,,
29,1190.3302135520466,85447.86155846063,S.D. COUNTY,CN,,,,,,,,
30,1995.1424212994166,170649.93752488072,S.D. COUNTY,CN,,,,,,,,
31,35850.44004366954,46214763.72353344,S.D. COUNTY,CN,,,,,,,,
32,5558.856968060642,1260058.6440547393,S.D. COUNTY,CN,,,,,,,,
33,402497.9987944594,1455759311.3738666,S.D. COUNTY,CN,,,T,2020-02-25,,,,
34,109286.64509066365,191526984.92728335,S.D. COUNTY,CN,,,T,2020-02-21,,,,
35,3669.5322932685267,692375.3647417115,S.D. COUNTY,CN,,,,,,,,
36,8530.1772200697,2056218.6814352847,S.D. COUNTY,CN,,,,,,,,
37,1419.3893820656942,110782.5504209933,S.D. COUNTY,CN,,,,,,,,
38,7949.879090548368,1536624.2034419766,S.D. COUNTY,CN,,,,,,,,
39,4454.844911817541,815081.5312722486,S.D. COUNTY,CN,,,,,,,,
40,17983.764265448135,9377133.457654139,S.D. COUNTY,CN,,,,,,,,
41,2637.568409911444,289800.55050270306,S.D. COUNTY,CN,,,,,,,,
42,25490.592377931727,23738992.145003486,S.D. COUNTY,CN,,,KPALM,2018-04-11,,,,
43,1990.8733984276878,51323.763126780534,S.D. COUNTY,CN,,,,,,,,
44,13269.175610888587,4448556.107256984,S.D. COUNTY,CN,,,T,2020-02-25,,,,
45,686.7972131552108,28256.988740662986,S.D. COUNTY,CN,,,,,,,,
46,35599.25906665135,12193213.053548288,S.D. COUNTY,CN,,,T,2020-02-25,,,,
47,2020.4594743873517,178774.61242193228,S.D. COUNTY,CN,,,,,,,,
48,21772.989575342097,22451789.92455733,S.D. COUNTY,CN,,,,,,,,
49,937.7163245821783,49103.60501266227,SAN DIEGO,SD,,,,,,,,
50,3200.614016921317,630169.439453274,SAN DIEGO,SD,,,,,,,,
51,1343.889774647622,96150.33717995296,SAN DIEGO,SD,,,,,,,,
52,10359.913741115728,2870214.974863523,SAN DIEGO,SD,,,,,,,,
53,47913.69411883186,95123033.92605455,SOLANA BEACH,SO,,,T,2020-02-25,,,,
54,3328.4648204990667,421077.2974711034,VISTA,VS,KPALM,2018-07-06,KPALM,2018-07-06,2018.0,0230973,2018-06-07,Phillips Street Reorganization
55,248596.63051388084,1175733752.5154748,OCEANSIDE,OC,EGREGORY,2018-09-13,T,2020-02-20,,,,
56,2754.6378917086413,205533.08829139615,S.D. COUNTY,CN,EGREGORY,2018-09-13,EGREGORY,2019-03-21,,,,
57,265297.8619911586,520657859.98114705,VISTA,VS,EGREGORY,2018-09-13,T,2020-02-25,,,,
58,2496706.952277223,97652992846.79733,S.D. COUNTY,CN,EGREGORY,2018-09-13,T,2020-02-25,,,,
59,219227.7508363319,679328705.8191785,SAN MARCOS,SM,EGREGORY,2018-09-13,T,2020-02-20,,,,
60,554365.6034711095,1043451216.7694753,ESCONDIDO,ES,EGREGORY,2018-09-13,T,2020-02-21,,,,
61,147898.30650277177,465497800.9386484,SANTEE,ST,EGREGORY,2018-09-13,T,2020-02-21,,,,
62,237031.2824946939,405220501.37113464,EL CAJON,EC,EGREGORY,2018-09-13,EGREGORY,2018-09-13,,,,
63,136842.96108887295,251921171.81227258,LA MESA,LM,EGREGORY,2018-09-13,EGREGORY,2018-09-13,,,,
64,64884.34900153865,109075413.73770653,LEMON GROVE,LG,EGREGORY,2018-09-13,EGREGORY,2018-09-13,,,,
65,183716.83773238666,257348854.7578166,NATIONAL CITY,NC,EGREGORY,2018-09-13,EGREGORY,2018-09-13,,,,
66,37952.61441463514,21704662.28682142,S.D. COUNTY,CN,EGREGORY,2018-09-13,EGREGORY,2018-09-13,,,,
67,1442.1517627718313,128386.62994581074,VISTA,VS,EGREGORY,2018-09-13,EGREGORY,2019-03-21,2017.0,0395529,2017-08-29,Olive Avenue Reorganization
68,641.7358074750109,9742.735367567244,S.D. COUNTY,CN,T,2020-02-20,T,2020-02-20,,,,
69,1194991.9811858835,9544910614.64574,SAN DIEGO,SD,EGREGORY,2018-09-13,KMARLOW,2020-08-18,,,,
70,212172.89317305485,1090750229.991491,POWAY,PW,EGREGORY,2018-09-13,KMARLOW,2020-08-18,,,,
